Description,Value,Curncy,Date,ID
Activos intangibles distintos de la plusvalía,128.152,USD,2018-09-30,SQM-B
Plusvalía,34.758,USD,2018-09-30,SQM-B
"Propiedades, planta y equipo",1.433.186,USD,2018-09-30,SQM-B
Activos biológicos no corrientes,-,USD,2018-09-30,SQM-B
Propiedad de inversión,-,USD,2018-09-30,SQM-B
"Activos por impuestos corrientes, no corrientes",32.179,USD,2018-09-30,SQM-B
Activos por impuestos diferidos,-,USD,2018-09-30,SQM-B
Total de activos no corrientes,1.802.513,USD,2018-09-30,SQM-B
Total de activos,4.124.423,USD,2018-09-30,SQM-B
Otros pasivos financieros corrientes,20.369,USD,2018-09-30,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,181.778,USD,2018-09-30,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",391,USD,2018-09-30,SQM-B
Otras provisiones a corto plazo,90.405,USD,2018-09-30,SQM-B
"Pasivos por impuestos corrientes, corrientes",63.188,USD,2018-09-30,SQM-B
