ID,Date,Balance2,Value
COLBUN,2019-06-30,Cash,-455692.48163999995
COLBUN,2019-06-30,Debt,-1172661.2800200002
COLBUN,2019-09-30,Cash,-568419.33856
COLBUN,2019-09-30,Debt,-1234412.8842399998
COLBUN,2019-12-31,Cash,-595450.2753999999
COLBUN,2019-12-31,Debt,-1251333.9100000001
COLBUN,2020-03-31,Cash,-829873.317
COLBUN,2020-03-31,Debt,-1420069.3961999998
COLBUN,2020-06-30,Cash,-698124.94848
COLBUN,2020-06-30,Debt,-1363744.89084
COLBUN,2020-09-30,Cash,-758575.9578399999
COLBUN,2020-09-30,Debt,-1306148.6493400002
COLBUN,2020-12-31,Cash,-689022.2848799999
COLBUN,2020-12-31,Debt,-1182346.8837599999
COLBUN,2021-03-31,Cash,-740099.5164300001
COLBUN,2021-03-31,Debt,-1210258.3621
COLBUN,2021-06-30,Cash,-557278.27064
COLBUN,2021-06-30,Debt,-1202049.7143199998
COLBUN,2021-09-30,Cash,-1439209.6002500001
COLBUN,2021-09-30,Debt,-1313156.06208
COLBUN,2021-12-31,Cash,-1125799.87025
COLBUN,2021-12-31,Debt,-1890426.29425
COLBUN,2022-03-31,Cash,-884271.14204
COLBUN,2022-03-31,Debt,-1584076.8482
COLBUN,2022-06-30,Cash,-829826.73955
COLBUN,2022-06-30,Debt,-1889029.5992
COLBUN,2022-09-30,Cash,-1045132.788
COLBUN,2022-09-30,Debt,-1974591.906
COLBUN,2022-12-31,Cash,-976265.8384
COLBUN,2022-12-31,Debt,-1737215.8266999999
COLBUN,2023-03-31,Cash,-825373.7696400001
COLBUN,2023-03-31,Debt,-1571263.8046000001
COLBUN,2023-06-30,Cash,-762332.48712
COLBUN,2023-06-30,Debt,-1603936.04568
COLBUN,2023-09-30,Cash,-1063818.5382
COLBUN,2023-09-30,Debt,-1798213.8438
COLBUN,2023-12-31,Cash,-913354.21303
COLBUN,2023-12-31,Debt,-1754810.72004
COLBUN,2024-03-31,Cash,-973064.0904600001
COLBUN,2024-03-31,Debt,-1936309.29282
COLBUN,2024-06-30,Cash,-861892.3076399999
COLBUN,2024-06-30,Debt,-1881290.64564
COLBUN,2024-09-30,Cash,-850412.1900000001
COLBUN,2024-09-30,Debt,-1757253.17625
COLBUN,2024-12-31,Cash,-769091.4240000001
COLBUN,2024-12-31,Debt,-2145508.11388
COLBUN,2025-03-31,Cash,-729902.9046
COLBUN,2025-03-31,Debt,-2033618.2975
COLBUN,2025-06-30,Cash,-741381.18756
COLBUN,2025-06-30,Debt,-2019708.70192
COLBUN,2025-09-30,Cash,-912529.163
COLBUN,2025-09-30,Debt,-2330223.5893999995
COPEC,2017-03-31,Cash,-923247.7316999999
COPEC,2017-03-31,Debt,-4400214.149139999
COPEC,2017-06-30,Cash,-887219.7888600001
COPEC,2017-06-30,Debt,-4300671.4623
COPEC,2017-09-30,Cash,-874129.48355
COPEC,2017-09-30,Debt,-4081237.3037500004
COPEC,2017-12-31,Cash,-940584.63398
COPEC,2017-12-31,Debt,-4057602.91618
COPEC,2018-03-31,Cash,-993435.02736
COPEC,2018-03-31,Debt,-4514697.28704
COPEC,2018-06-30,Cash,-1098516.2874
COPEC,2018-06-30,Debt,-4737683.4018
COPEC,2018-09-30,Cash,-1272368.79
COPEC,2018-09-30,Debt,-4841815.5135
COPEC,2018-12-31,Cash,-1345218.1857400003
COPEC,2018-12-31,Debt,-5193372.4612300005
COPEC,2019-03-31,Cash,-1101893.96451
COPEC,2019-03-31,Debt,-5482091.36673
COPEC,2019-06-30,Cash,-1459934.7633
COPEC,2019-06-30,Debt,-6207236.01648
COPEC,2019-09-30,Cash,-1350200.9336799998
COPEC,2019-09-30,Debt,-6369438.495999999
COPEC,2019-12-31,Cash,-1742265.5991
COPEC,2019-12-31,Debt,-6904639.36324
COPEC,2020-03-31,Cash,-1624829.9886
COPEC,2020-03-31,Debt,-7375630.5987
COPEC,2020-06-30,Cash,-1797901.4660399999
COPEC,2020-06-30,Debt,-7391380.585200001
COPEC,2020-09-30,Cash,-1805089.5276
COPEC,2020-09-30,Debt,-7073469.54432
COPEC,2020-12-31,Cash,-1664480.1212400002
COPEC,2020-12-31,Debt,-6450761.166359999
COPEC,2021-03-31,Cash,-1490362.18388
COPEC,2021-03-31,Debt,-6366773.38381
COPEC,2021-06-30,Cash,-1593776.75184
COPEC,2021-06-30,Debt,-6415592.25944
COPEC,2021-09-30,Cash,-2078427.67652
COPEC,2021-09-30,Debt,-6966799.04246
COPEC,2021-12-31,Cash,-1575723.26175
COPEC,2021-12-31,Debt,-7145826.64575
COPEC,2022-03-31,Cash,-1553596.43868
COPEC,2022-03-31,Debt,-6603830.0160799995
