Date,ID,Price
2019-10-15,AGUAS-A,389.5
2019-10-16,AGUAS-A,389.5
2019-10-17,AGUAS-A,387.0
2019-10-18,AGUAS-A,379.0
2019-10-19,AGUAS-A,379.0
2019-10-20,AGUAS-A,379.0
2019-10-21,AGUAS-A,355.61
2019-10-22,AGUAS-A,354.0
2019-10-23,AGUAS-A,345.0
2019-10-24,AGUAS-A,360.0
2019-10-25,AGUAS-A,360.0
2019-10-26,AGUAS-A,360.0
2019-10-27,AGUAS-A,360.0
2019-10-28,AGUAS-A,359.55
2019-10-29,AGUAS-A,355.0
2019-10-30,AGUAS-A,340.0
2019-10-31,AGUAS-A,340.0
2019-11-01,AGUAS-A,340.0
2019-11-02,AGUAS-A,340.0
2019-11-03,AGUAS-A,340.0
2019-11-04,AGUAS-A,342.7
2019-11-05,AGUAS-A,337.95
2019-11-06,AGUAS-A,322.0
2019-11-07,AGUAS-A,320.0
2019-11-08,AGUAS-A,325.0
2019-11-09,AGUAS-A,325.0
2019-11-10,AGUAS-A,325.0
2019-11-11,AGUAS-A,322.15
2019-11-12,AGUAS-A,324.99
2019-11-13,AGUAS-A,310.0
2019-11-14,AGUAS-A,310.95
2019-11-15,AGUAS-A,345.76
2019-11-16,AGUAS-A,345.76
2019-11-17,AGUAS-A,345.76
2019-11-18,AGUAS-A,359.0
2019-11-19,AGUAS-A,343.5
2019-11-20,AGUAS-A,353.99
2019-11-21,AGUAS-A,343.99
2019-11-22,AGUAS-A,342.99
2019-11-23,AGUAS-A,342.99
2019-11-24,AGUAS-A,342.99
2019-11-25,AGUAS-A,333.1
2019-11-26,AGUAS-A,316.97
2019-11-27,AGUAS-A,320.0
2019-11-28,AGUAS-A,316.5
2019-11-29,AGUAS-A,329.0
2019-11-30,AGUAS-A,329.0
2019-12-01,AGUAS-A,329.0
2019-12-02,AGUAS-A,326.5
2019-12-03,AGUAS-A,322.0
2019-12-04,AGUAS-A,328.02
