Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,stale,Discount
2021-04-22,2021Q2,INVERCAP,895700.9085058273,5950.621040000056,149.253056,889750.2874658273,5961.35389995517,3030.0,False,0.4917261999790373
2021-04-23,2021Q2,INVERCAP,886022.220031872,5950.621040000056,149.253056,880071.598991872,5896.506393757673,2936.7,False,0.5019593291531181
2021-04-26,2021Q2,INVERCAP,922333.5412193954,5950.621040000056,149.253056,916382.9201793952,6139.793346538883,2993.6,False,0.5124265865254979
2021-04-27,2021Q2,INVERCAP,912330.064541616,5950.621040000056,149.253056,906379.4435016159,6072.76974952939,2933.2,False,0.516991402444114
2021-04-28,2021Q2,INVERCAP,860688.7401336001,5950.621040000056,149.253056,854738.1190936,5726.771310421946,2890.6,False,0.4952478729612442
2021-04-29,2021Q2,INVERCAP,831457.80178944,5950.621040000056,149.253056,825507.1807494399,5530.92313734226,2796.0,False,0.49447860138885524
2021-04-30,2021Q2,INVERCAP,823013.308490016,5950.621040000056,149.253056,817062.6874500159,5474.34477623035,2786.5,False,0.4909893121640775
2021-05-03,2021Q2,INVERCAP,906808.6650766081,5950.621040000056,149.253056,900858.044036608,6035.7762057254495,2777.4,False,0.5398437739680608
2021-05-04,2021Q2,INVERCAP,921619.0071709824,5950.621040000056,149.253056,915668.3861309823,6135.00594675249,2763.2,False,0.5496010885755254
2021-05-05,2021Q2,INVERCAP,910641.1658817312,5950.621040000056,149.253056,904690.5448417312,6061.454077307008,2779.2,False,0.5414961551214545
2021-05-06,2021Q2,INVERCAP,886671.7964395201,5950.621040000056,149.253056,880721.17539952,5900.858575381666,2723.1,False,0.5385247815697954
2021-05-07,2021Q2,INVERCAP,906094.1310281953,5950.621040000056,149.253056,900143.5099881953,6030.988805939058,2781.8,False,0.5387489366154015
2021-05-10,2021Q2,INVERCAP,928894.2629366401,5950.621040000056,149.253056,922943.64189664,6183.750380941212,2850.0,False,0.5391146433103257
2021-05-11,2021Q2,INVERCAP,896415.4425542401,5950.621040000056,149.253056,890464.82151424,5966.141299741562,2850.0,False,0.5223043074552299
